PLAN 1, FREQ 1 sec, 500kb file

Twin Patch received
     {'$version': 5, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 1, 'UploadTarget': 10}
Total calls confirmed: 4
Start job
COMPRESSION START: 2023-07-18 14:07:12.890478
COMPRESSION END: 2023-07-18 14:07:13.007937
UPLOAD START: 2023-07-18 14:07:13.773752
UPLOAD COMPLETED: 2023-07-18 14:07:14.425395
COMPRESSION START: 2023-07-18 14:07:14.425541
COMPRESSION END: 2023-07-18 14:07:14.536126
UPLOAD START: 2023-07-18 14:07:14.773180
UPLOAD COMPLETED: 2023-07-18 14:07:14.942103
COMPRESSION START: 2023-07-18 14:07:14.942186
COMPRESSION END: 2023-07-18 14:07:15.007607
UPLOAD START: 2023-07-18 14:07:15.773750
UPLOAD COMPLETED: 2023-07-18 14:07:16.019683
COMPRESSION START: 2023-07-18 14:07:16.019830
COMPRESSION END: 2023-07-18 14:07:16.131665
UPLOAD START: 2023-07-18 14:07:16.773585
UPLOAD COMPLETED: 2023-07-18 14:07:17.009401
COMPRESSION START: 2023-07-18 14:07:17.009547
COMPRESSION END: 2023-07-18 14:07:17.132132
UPLOAD START: 2023-07-18 14:07:17.773586
UPLOAD COMPLETED: 2023-07-18 14:07:18.014787
COMPRESSION START: 2023-07-18 14:07:18.014931
COMPRESSION END: 2023-07-18 14:07:18.143263
UPLOAD START: 2023-07-18 14:07:18.773572
UPLOAD COMPLETED: 2023-07-18 14:07:19.012573
COMPRESSION START: 2023-07-18 14:07:19.012720
COMPRESSION END: 2023-07-18 14:07:19.128655
UPLOAD START: 2023-07-18 14:07:19.773599
UPLOAD COMPLETED: 2023-07-18 14:07:20.014712
COMPRESSION START: 2023-07-18 14:07:20.014857
COMPRESSION END: 2023-07-18 14:07:20.125519
UPLOAD START: 2023-07-18 14:07:20.773591
UPLOAD COMPLETED: 2023-07-18 14:07:21.011302
COMPRESSION START: 2023-07-18 14:07:21.011432
COMPRESSION END: 2023-07-18 14:07:21.108868
UPLOAD START: 2023-07-18 14:07:21.773605
UPLOAD COMPLETED: 2023-07-18 14:07:22.009953
COMPRESSION START: 2023-07-18 14:07:22.010098
COMPRESSION END: 2023-07-18 14:07:22.120794
UPLOAD START: 2023-07-18 14:07:22.773617
UPLOAD COMPLETED: 2023-07-18 14:07:23.004702


PLAN 1, FREQ 3 sec, 500kb file

Twin Patch received
     {'$version': 6, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 3, 'UploadTarget': 10}
Total calls confirmed: 5
Start job
COMPRESSION START: 2023-07-18 14:46:05.150906
COMPRESSION END: 2023-07-18 14:46:05.264671
UPLOAD START: 2023-07-18 14:46:07.775502
UPLOAD COMPLETED: 2023-07-18 14:46:08.417878
COMPRESSION START: 2023-07-18 14:46:08.418066
COMPRESSION END: 2023-07-18 14:46:08.519096
UPLOAD START: 2023-07-18 14:46:10.775243
UPLOAD COMPLETED: 2023-07-18 14:46:11.119570
COMPRESSION START: 2023-07-18 14:46:11.119715
COMPRESSION END: 2023-07-18 14:46:11.230933
UPLOAD START: 2023-07-18 14:46:13.775525
UPLOAD COMPLETED: 2023-07-18 14:46:14.118175
COMPRESSION START: 2023-07-18 14:46:14.118322
COMPRESSION END: 2023-07-18 14:46:14.214328
UPLOAD START: 2023-07-18 14:46:16.775551
UPLOAD COMPLETED: 2023-07-18 14:46:17.118102
COMPRESSION START: 2023-07-18 14:46:17.118290
COMPRESSION END: 2023-07-18 14:46:17.233666
UPLOAD START: 2023-07-18 14:46:19.775544
UPLOAD COMPLETED: 2023-07-18 14:46:20.118010
COMPRESSION START: 2023-07-18 14:46:20.118157
COMPRESSION END: 2023-07-18 14:46:20.228404
UPLOAD START: 2023-07-18 14:46:22.775525
UPLOAD COMPLETED: 2023-07-18 14:46:23.118532
COMPRESSION START: 2023-07-18 14:46:23.118677
COMPRESSION END: 2023-07-18 14:46:23.223058
UPLOAD START: 2023-07-18 14:46:25.775535
UPLOAD COMPLETED: 2023-07-18 14:46:26.119105
COMPRESSION START: 2023-07-18 14:46:26.119251
COMPRESSION END: 2023-07-18 14:46:26.234705
UPLOAD START: 2023-07-18 14:46:28.775541
UPLOAD COMPLETED: 2023-07-18 14:46:29.118696
COMPRESSION START: 2023-07-18 14:46:29.118843
COMPRESSION END: 2023-07-18 14:46:29.242312
UPLOAD START: 2023-07-18 14:46:31.775516
UPLOAD COMPLETED: 2023-07-18 14:46:32.117840
COMPRESSION START: 2023-07-18 14:46:32.117989
COMPRESSION END: 2023-07-18 14:46:32.244159
UPLOAD START: 2023-07-18 14:46:34.775537
UPLOAD COMPLETED: 2023-07-18 14:46:35.118168

PLAN 1, FREQ 10 sec, 500kb file

Twin Patch received
     {'$version': 7, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 10, 'UploadTarget': 10}
Total calls confirmed: 6
Start job
COMPRESSION START: 2023-07-18 15:07:36.281231
COMPRESSION END: 2023-07-18 15:07:36.407088
UPLOAD START: 2023-07-18 15:07:37.774356
UPLOAD COMPLETED: 2023-07-18 15:07:38.436422
COMPRESSION START: 2023-07-18 15:07:38.436554
COMPRESSION END: 2023-07-18 15:07:38.563483
UPLOAD START: 2023-07-18 15:07:47.782202
UPLOAD COMPLETED: 2023-07-18 15:07:48.133455
COMPRESSION START: 2023-07-18 15:07:48.133602
COMPRESSION END: 2023-07-18 15:07:48.242385
UPLOAD START: 2023-07-18 15:07:57.780217
UPLOAD COMPLETED: 2023-07-18 15:07:58.145350
COMPRESSION START: 2023-07-18 15:07:58.145495
COMPRESSION END: 2023-07-18 15:07:58.267613
UPLOAD START: 2023-07-18 15:08:07.780198
UPLOAD COMPLETED: 2023-07-18 15:08:08.126633
COMPRESSION START: 2023-07-18 15:08:08.126778
COMPRESSION END: 2023-07-18 15:08:08.248349
UPLOAD START: 2023-07-18 15:08:17.782522
UPLOAD COMPLETED: 2023-07-18 15:08:18.128651
COMPRESSION START: 2023-07-18 15:08:18.128796
COMPRESSION END: 2023-07-18 15:08:18.232306
UPLOAD START: 2023-07-18 15:08:27.779360
UPLOAD COMPLETED: 2023-07-18 15:08:28.126170
COMPRESSION START: 2023-07-18 15:08:28.126318
COMPRESSION END: 2023-07-18 15:08:28.241611
UPLOAD START: 2023-07-18 15:08:37.782528
UPLOAD COMPLETED: 2023-07-18 15:08:38.136798
COMPRESSION START: 2023-07-18 15:08:38.136944
COMPRESSION END: 2023-07-18 15:08:38.244153
UPLOAD START: 2023-07-18 15:08:47.780021
UPLOAD COMPLETED: 2023-07-18 15:08:48.125013
COMPRESSION START: 2023-07-18 15:08:48.125159
COMPRESSION END: 2023-07-18 15:08:48.226059
UPLOAD START: 2023-07-18 15:08:57.779753
UPLOAD COMPLETED: 2023-07-18 15:08:58.127266
COMPRESSION START: 2023-07-18 15:08:58.127412
COMPRESSION END: 2023-07-18 15:08:58.239098
UPLOAD START: 2023-07-18 15:09:07.782528
UPLOAD COMPLETED: 2023-07-18 15:09:08.128067

PLAN 1, FREQ 30 sec, 500kb file

Twin Patch received
     {'$version': 8, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 30, 'UploadTarget': 10}
Total calls confirmed: 7
Start job
COMPRESSION START: 2023-07-18 15:11:28.254360
COMPRESSION END: 2023-07-18 15:11:28.319066
UPLOAD START: 2023-07-18 15:11:37.782444
UPLOAD COMPLETED: 2023-07-18 15:11:38.129526
COMPRESSION START: 2023-07-18 15:11:38.129670
COMPRESSION END: 2023-07-18 15:11:38.224747
UPLOAD START: 2023-07-18 15:12:07.802537
UPLOAD COMPLETED: 2023-07-18 15:12:08.148830
COMPRESSION START: 2023-07-18 15:12:08.148977
COMPRESSION END: 2023-07-18 15:12:08.242723
UPLOAD START: 2023-07-18 15:12:37.802520
UPLOAD COMPLETED: 2023-07-18 15:12:38.148991
COMPRESSION START: 2023-07-18 15:12:38.149138
COMPRESSION END: 2023-07-18 15:12:38.272494
UPLOAD START: 2023-07-18 15:13:07.802498
UPLOAD COMPLETED: 2023-07-18 15:13:08.148154
COMPRESSION START: 2023-07-18 15:13:08.148299
COMPRESSION END: 2023-07-18 15:13:08.258662
UPLOAD START: 2023-07-18 15:13:37.802498
UPLOAD COMPLETED: 2023-07-18 15:13:38.146918
COMPRESSION START: 2023-07-18 15:13:38.147064
COMPRESSION END: 2023-07-18 15:13:38.257410
UPLOAD START: 2023-07-18 15:14:07.779931
UPLOAD COMPLETED: 2023-07-18 15:14:08.129370
COMPRESSION START: 2023-07-18 15:14:08.129518
COMPRESSION END: 2023-07-18 15:14:08.223199
UPLOAD START: 2023-07-18 15:14:37.802570
UPLOAD COMPLETED: 2023-07-18 15:14:38.147929
COMPRESSION START: 2023-07-18 15:14:38.148078
COMPRESSION END: 2023-07-18 15:14:38.265230
UPLOAD START: 2023-07-18 15:15:07.779449
UPLOAD COMPLETED: 2023-07-18 15:15:08.126105
COMPRESSION START: 2023-07-18 15:15:08.126253
COMPRESSION END: 2023-07-18 15:15:08.231449
UPLOAD START: 2023-07-18 15:15:37.802517
UPLOAD COMPLETED: 2023-07-18 15:15:38.148856
COMPRESSION START: 2023-07-18 15:15:38.149002
COMPRESSION END: 2023-07-18 15:15:38.265532
UPLOAD START: 2023-07-18 15:16:07.779689
UPLOAD COMPLETED: 2023-07-18 15:16:08.126307

PLAN 1, FREQ 60 sec, 500kb file

Twin Patch received
     {'$version': 9, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 60, 'UploadTarget': 10}
Total calls confirmed: 8
Start job
COMPRESSION START: 2023-07-18 15:18:38.285109
COMPRESSION END: 2023-07-18 15:18:38.413287
UPLOAD START: 2023-07-18 15:19:07.792181
UPLOAD COMPLETED: 2023-07-18 15:19:08.136348
COMPRESSION START: 2023-07-18 15:19:08.136493
COMPRESSION END: 2023-07-18 15:19:08.243703
UPLOAD START: 2023-07-18 15:20:07.832523
UPLOAD COMPLETED: 2023-07-18 15:20:08.226112
COMPRESSION START: 2023-07-18 15:20:08.226258
COMPRESSION END: 2023-07-18 15:20:08.345895
UPLOAD START: 2023-07-18 15:21:07.832420
UPLOAD COMPLETED: 2023-07-18 15:21:08.180124
COMPRESSION START: 2023-07-18 15:21:08.180270
COMPRESSION END: 2023-07-18 15:21:08.301524
UPLOAD START: 2023-07-18 15:22:07.832466
UPLOAD COMPLETED: 2023-07-18 15:22:08.178610
COMPRESSION START: 2023-07-18 15:22:08.178757
COMPRESSION END: 2023-07-18 15:22:08.298662
UPLOAD START: 2023-07-18 15:23:07.832470
UPLOAD COMPLETED: 2023-07-18 15:23:08.179153
COMPRESSION START: 2023-07-18 15:23:08.179284
COMPRESSION END: 2023-07-18 15:23:08.270408
UPLOAD START: 2023-07-18 15:24:07.780148
UPLOAD COMPLETED: 2023-07-18 15:24:08.128152
COMPRESSION START: 2023-07-18 15:24:08.128297
COMPRESSION END: 2023-07-18 15:24:08.224154
UPLOAD START: 2023-07-18 15:25:07.832540
UPLOAD COMPLETED: 2023-07-18 15:25:08.190672
COMPRESSION START: 2023-07-18 15:25:08.190818
COMPRESSION END: 2023-07-18 15:25:08.311920
UPLOAD START: 2023-07-18 15:26:07.832452
UPLOAD COMPLETED: 2023-07-18 15:26:08.180511
COMPRESSION START: 2023-07-18 15:26:08.180640
COMPRESSION END: 2023-07-18 15:26:08.274239
UPLOAD START: 2023-07-18 15:27:07.832490
UPLOAD COMPLETED: 2023-07-18 15:28:23.756815
COMPRESSION START: 2023-07-18 15:28:23.756900
COMPRESSION END: 2023-07-18 15:28:23.822822
UPLOAD START: 2023-07-18 15:29:07.816934
UPLOAD COMPLETED: 2023-07-18 15:29:08.165348


PLAN 1, FREQ 1 sec, 5mb file

Twin Patch received
     {'$version': 11, 'Active': True, 'FileName': 'p002.mp3', 'IntervalSec': 1, 'UploadTarget': 10}
Total calls confirmed: 10
Start job
COMPRESSION START: 2023-07-18 19:34:38.273272
COMPRESSION END: 2023-07-18 19:34:38.989487
UPLOAD START: 2023-07-18 19:34:39.773721
UPLOAD COMPLETED: 2023-07-18 19:34:41.755455
COMPRESSION START: 2023-07-18 19:34:41.755605
COMPRESSION END: 2023-07-18 19:34:42.461857
UPLOAD START: 2023-07-18 19:34:42.773241
UPLOAD COMPLETED: 2023-07-18 19:34:44.231800
COMPRESSION START: 2023-07-18 19:34:44.231932
COMPRESSION END: 2023-07-18 19:34:44.911566
UPLOAD START: 2023-07-18 19:34:45.773840
UPLOAD COMPLETED: 2023-07-18 19:34:47.418075
COMPRESSION START: 2023-07-18 19:34:47.418198
COMPRESSION END: 2023-07-18 19:34:48.135411
UPLOAD START: 2023-07-18 19:34:48.773572
UPLOAD COMPLETED: 2023-07-18 19:34:50.707980
COMPRESSION START: 2023-07-18 19:34:50.708166
COMPRESSION END: 2023-07-18 19:34:51.416973
UPLOAD START: 2023-07-18 19:34:51.773308
UPLOAD COMPLETED: 2023-07-18 19:34:53.149192
COMPRESSION START: 2023-07-18 19:34:53.149325
COMPRESSION END: 2023-07-18 19:34:53.858660
UPLOAD START: 2023-07-18 19:34:54.773902
UPLOAD COMPLETED: 2023-07-18 19:34:56.231871
COMPRESSION START: 2023-07-18 19:34:56.232003
COMPRESSION END: 2023-07-18 19:34:56.926005
UPLOAD START: 2023-07-18 19:34:57.773825
UPLOAD COMPLETED: 2023-07-18 19:34:59.004518
COMPRESSION START: 2023-07-18 19:34:59.004995
COMPRESSION END: 2023-07-18 19:34:59.727427
UPLOAD START: 2023-07-18 19:34:59.772980
UPLOAD COMPLETED: 2023-07-18 19:35:01.800177
COMPRESSION START: 2023-07-18 19:35:01.800749
COMPRESSION END: 2023-07-18 19:35:02.514949
UPLOAD START: 2023-07-18 19:35:02.773251
UPLOAD COMPLETED: 2023-07-18 19:35:03.600877
COMPRESSION START: 2023-07-18 19:35:03.601257
COMPRESSION END: 2023-07-18 19:35:04.318113
UPLOAD START: 2023-07-18 19:35:04.773384
UPLOAD COMPLETED: 2023-07-18 19:35:06.087284

PLAN 1, FREQ 3 sec, 5mb file

Twin Patch received
     {'$version': 12, 'Active': True, 'FileName': 'p002.mp3', 'IntervalSec': 3, 'UploadTarget': 10}
Total calls confirmed: 11
Start job
COMPRESSION START: 2023-07-18 19:36:56.186654
COMPRESSION END: 2023-07-18 19:36:56.909782
UPLOAD START: 2023-07-18 19:36:58.774851
UPLOAD COMPLETED: 2023-07-18 19:36:59.732148
COMPRESSION START: 2023-07-18 19:36:59.732281
COMPRESSION END: 2023-07-18 19:37:00.446793
UPLOAD START: 2023-07-18 19:37:01.774343
UPLOAD COMPLETED: 2023-07-18 19:37:02.778643
COMPRESSION START: 2023-07-18 19:37:02.778826
COMPRESSION END: 2023-07-18 19:37:03.533434
UPLOAD START: 2023-07-18 19:37:04.774230
UPLOAD COMPLETED: 2023-07-18 19:37:05.762525
COMPRESSION START: 2023-07-18 19:37:05.762657
COMPRESSION END: 2023-07-18 19:37:06.458016
UPLOAD START: 2023-07-18 19:37:07.774051
UPLOAD COMPLETED: 2023-07-18 19:37:08.874704
COMPRESSION START: 2023-07-18 19:37:08.874835
COMPRESSION END: 2023-07-18 19:37:09.588298
UPLOAD START: 2023-07-18 19:37:10.774157
UPLOAD COMPLETED: 2023-07-18 19:37:13.359261
COMPRESSION START: 2023-07-18 19:37:13.359408
COMPRESSION END: 2023-07-18 19:37:14.076905
UPLOAD START: 2023-07-18 19:37:16.775703
UPLOAD COMPLETED: 2023-07-18 19:37:17.897266
COMPRESSION START: 2023-07-18 19:37:17.897411
COMPRESSION END: 2023-07-18 19:37:18.612538
UPLOAD START: 2023-07-18 19:37:19.774151
UPLOAD COMPLETED: 2023-07-18 19:37:20.724320
COMPRESSION START: 2023-07-18 19:37:20.724455
COMPRESSION END: 2023-07-18 19:37:21.446470
UPLOAD START: 2023-07-18 19:37:22.774309
UPLOAD COMPLETED: 2023-07-18 19:37:23.787967
COMPRESSION START: 2023-07-18 19:37:23.788116
COMPRESSION END: 2023-07-18 19:37:24.518904
UPLOAD START: 2023-07-18 19:37:25.774232
UPLOAD COMPLETED: 2023-07-18 19:37:26.704681
COMPRESSION START: 2023-07-18 19:37:26.704804
COMPRESSION END: 2023-07-18 19:37:27.411208
UPLOAD START: 2023-07-18 19:37:28.774380
UPLOAD COMPLETED: 2023-07-18 19:37:29.828444

PLAN 1, FREQ 10 sec, 5mb file

Twin Patch received
     {'$version': 13, 'Active': True, 'FileName': 'p002.mp3', 'IntervalSec': 10, 'UploadTarget': 10}
Total calls confirmed: 12
Start job
COMPRESSION START: 2023-07-18 19:39:19.931519
COMPRESSION END: 2023-07-18 19:39:20.651566
UPLOAD START: 2023-07-18 19:39:27.780091
UPLOAD COMPLETED: 2023-07-18 19:39:28.754113
COMPRESSION START: 2023-07-18 19:39:28.754243
COMPRESSION END: 2023-07-18 19:39:29.459774
UPLOAD START: 2023-07-18 19:39:37.781284
UPLOAD COMPLETED: 2023-07-18 19:39:38.718686
COMPRESSION START: 2023-07-18 19:39:38.718833
COMPRESSION END: 2023-07-18 19:39:39.435509
UPLOAD START: 2023-07-18 19:39:47.781307
UPLOAD COMPLETED: 2023-07-18 19:39:48.696386
COMPRESSION START: 2023-07-18 19:39:48.696506
COMPRESSION END: 2023-07-18 19:39:49.383445
UPLOAD START: 2023-07-18 19:39:57.780135
UPLOAD COMPLETED: 2023-07-18 19:39:58.678635
COMPRESSION START: 2023-07-18 19:39:58.678781
COMPRESSION END: 2023-07-18 19:39:59.393456
UPLOAD START: 2023-07-18 19:40:07.781312
UPLOAD COMPLETED: 2023-07-18 19:40:08.648025
COMPRESSION START: 2023-07-18 19:40:08.648111
COMPRESSION END: 2023-07-18 19:40:09.345398
UPLOAD START: 2023-07-18 19:40:17.779779
UPLOAD COMPLETED: 2023-07-18 19:40:18.663750
COMPRESSION START: 2023-07-18 19:40:18.663897
COMPRESSION END: 2023-07-18 19:40:19.345264
UPLOAD START: 2023-07-18 19:40:27.779910
UPLOAD COMPLETED: 2023-07-18 19:40:28.630370
COMPRESSION START: 2023-07-18 19:40:28.630456
COMPRESSION END: 2023-07-18 19:40:29.341931
UPLOAD START: 2023-07-18 19:40:37.780039
UPLOAD COMPLETED: 2023-07-18 19:40:38.669934
COMPRESSION START: 2023-07-18 19:40:38.670067
COMPRESSION END: 2023-07-18 19:40:39.365993
UPLOAD START: 2023-07-18 19:40:47.777875
UPLOAD COMPLETED: 2023-07-18 19:40:49.526418
COMPRESSION START: 2023-07-18 19:40:49.526548
COMPRESSION END: 2023-07-18 19:40:50.218495
UPLOAD START: 2023-07-18 19:40:57.780525
UPLOAD COMPLETED: 2023-07-18 19:40:58.998725

PLAN 1, FREQ 30 sec, 5mb file


Twin Patch received
     {'$version': 14, 'Active': True, 'FileName': 'p002.mp3', 'IntervalSec': 30, 'UploadTarget': 10}
Total calls confirmed: 13
Start job
COMPRESSION START: 2023-07-18 19:49:29.484540
COMPRESSION END: 2023-07-18 19:49:30.168664
UPLOAD START: 2023-07-18 19:49:37.780579
UPLOAD COMPLETED: 2023-07-18 19:49:51.173378
COMPRESSION START: 2023-07-18 19:49:51.173548
COMPRESSION END: 2023-07-18 19:49:51.893450
UPLOAD START: 2023-07-18 19:50:07.779869
UPLOAD COMPLETED: 2023-07-18 19:50:11.970227
COMPRESSION START: 2023-07-18 19:50:11.970316
COMPRESSION END: 2023-07-18 19:50:12.681748
UPLOAD START: 2023-07-18 19:50:37.779629
UPLOAD COMPLETED: 2023-07-18 19:50:41.858238
COMPRESSION START: 2023-07-18 19:50:41.858323
COMPRESSION END: 2023-07-18 19:50:42.568013
UPLOAD START: 2023-07-18 19:51:07.798192
UPLOAD COMPLETED: 2023-07-18 19:51:12.690621
COMPRESSION START: 2023-07-18 19:51:12.690770
COMPRESSION END: 2023-07-18 19:51:13.406088
UPLOAD START: 2023-07-18 19:51:37.777356
UPLOAD COMPLETED: 2023-07-18 19:51:43.012100
COMPRESSION START: 2023-07-18 19:51:43.012305
COMPRESSION END: 2023-07-18 19:51:43.724229
UPLOAD START: 2023-07-18 19:52:07.780792
UPLOAD COMPLETED: 2023-07-18 19:52:12.273556
COMPRESSION START: 2023-07-18 19:52:12.273723
COMPRESSION END: 2023-07-18 19:52:12.962184
UPLOAD START: 2023-07-18 19:52:37.779692
UPLOAD COMPLETED: 2023-07-18 19:52:41.099404
COMPRESSION START: 2023-07-18 19:52:41.099538
COMPRESSION END: 2023-07-18 19:52:41.799221
UPLOAD START: 2023-07-18 19:53:07.779566
UPLOAD COMPLETED: 2023-07-18 19:53:11.506555
COMPRESSION START: 2023-07-18 19:53:11.506718
COMPRESSION END: 2023-07-18 19:53:12.217593
UPLOAD START: 2023-07-18 19:53:37.798549
UPLOAD COMPLETED: 2023-07-18 19:53:41.255620
COMPRESSION START: 2023-07-18 19:53:41.255752
COMPRESSION END: 2023-07-18 19:53:41.939719
UPLOAD START: 2023-07-18 19:54:07.798824
UPLOAD COMPLETED: 2023-07-18 19:54:11.881088

PLAN 1, FREQ 60 sec, 5mb file

Twin Patch received
     {'$version': 15, 'Active': True, 'FileName': 'p002.mp3', 'IntervalSec': 60, 'UploadTarget': 10}
Total calls confirmed: 14
Start job
COMPRESSION START: 2023-07-18 20:01:32.294261
COMPRESSION END: 2023-07-18 20:01:32.999945
UPLOAD START: 2023-07-18 20:02:07.807766
UPLOAD COMPLETED: 2023-07-18 20:02:09.093191
COMPRESSION START: 2023-07-18 20:02:09.093322
COMPRESSION END: 2023-07-18 20:02:09.750268
UPLOAD START: 2023-07-18 20:03:07.809777
